pdbid,anchor_class,anchor_dist,anchor1,anchor2
5EO0,7,17.995808123004647,182,189
1UXW,7,18.666185282483404,182,189
5N6B-AC,7,18.688304390714528,182,189
5N6B-DF,7,18.6351092564546,182,189
7EJM,7,18.91981408471024,182,189
8RNE-AP,7,18.254285688571876,182,189
8RNE-CE,7,18.35529661977708,182,189
8RNE-FH,7,18.43149049860049,182,189
7P4B-AP,7,18.151555250170716,182,189
7P4B-CQ,7,18.186800735698405,182,189
7P4B-ER,7,18.13790089839505,182,189
7P4B-GZ,7,18.252748341003333,182,189
7SIF,7,17.99153348105714,182,189
3D18,7,18.453325472662105,182,189
5W6A-AE,7,18.350386753417485,182,189
5W6A-CF,7,18.3189682023852,182,189
2CIK,7,18.131163917410266,182,189
6VB1,7,17.769107152583665,182,189
4U1S,7,18.608092486872483,182,189
4U1N,7,18.543247989497416,182,189
6UZM,7,18.052074312942544,182,189
1DUZ-AC,7,18.46562712176329,182,189
1DUZ-DF,7,18.3901865406526,182,189
1I7U-AC,7,18.242785806997787,182,189
1I7U-DF,7,18.24438217643996,182,189
1TVB-AC,7,18.57124543481131,182,189
1TVB-DF,7,18.599079681532633,182,189
3BO8,7,19.256940021716844,182,189
3BP7,7,19.36008866198706,182,189
3FQT,7,18.48848725558692,182,189
3GSU,7,18.669296773044238,182,189
3L3D,7,18.80346566460555,182,189
3LKO,7,18.165208421595388,182,189
3LKP,7,18.33230179219184,182,189
3LKQ,7,18.13363146201003,182,189
3MRC,7,18.63279823322305,182,189
3X12,7,18.59162061252327,182,189
5IEK,7,18.34866635480628,182,189
5VUE,7,18.839176308957885,182,189
5VWD,7,18.865066048121857,182,189
5VWF,7,19.04974251794496,182,189
7S8F,7,18.46827956253641,182,189
1TVH-AC,7,18.520622991681464,182,189
1TVH-DF,7,18.609670631153044,182,189
4HX1,7,18.712266858935077,182,189
4O2C,7,17.770373659549204,182,189
3GSW,7,18.151955404308374,182,189
5WMN-AE,7,18.510006212856872,182,189
5WMN-CF,7,18.422904928376525,182,189
7RZD,7,18.47985297560562,182,189
3KPQ,7,19.050280549115282,182,189
4NT6,7,17.971481714093585,182,189
3BP4,7,19.476459483181227,182,189
5ENW,7,18.212796188394577,182,189
5EO1,7,17.961779588893744,182,189
5FA3,7,18.07240938558,182,189
3BXN,7,19.151052268739697,182,189
3C9N,7,18.11668153939898,182,189
3MRJ,7,18.90051017829942,182,189
8RNF-AP,7,18.25291415089656,182,189
8RNF-CE,7,18.28845969457242,182,189
8RNF-FH,7,18.156657649468418,182,189
3H7B-AC,7,18.536725223188697,182,189
3H7B-DF,7,18.490408973302884,182,189
5MER-AC,7,18.422107317025375,182,189
5MER-DF,7,18.231911583813694,182,189
6ULI,7,18.5914097636516,182,189
3MYJ-AC,7,18.356732034869385,182,189
3MYJ-DF,7,18.301872090034944,182,189
7EJL,7,19.07013450398292,182,189
1T1Z,7,18.325618789006832,182,189
1YDP,7,18.50205337253139,182,189
2GUO-AC,7,18.66261316107688,182,189
2GUO-DF,7,18.65369143092058,182,189
2H6P,7,18.114640184116276,182,189
3FT4,7,18.21497606366805,182,189
3GSV,7,18.711586464006732,182,189
3KPP,7,19.133851494145137,182,189
3LKS,7,18.108750205356525,182,189
3REW-AC,7,18.559663170434963,182,189
3REW-DF,7,18.460006771396372,182,189
4NNY,7,19.305923495134856,182,189
5HHP,7,18.18048494952761,182,189
5VUF,7,18.620107276812345,182,189
6D2T,7,18.879507329377006,182,189
6JTP,7,18.245600757442876,182,189
6UZS,7,18.06415370284476,182,189
6VB0,7,17.75408564246551,182,189
7LFZ,7,18.394522771738334,182,189
7MKB,7,18.106027311367892,182,189
9L4A-AC,7,18.21543589925863,182,189
9L4A-DF,7,18.29755642155531,182,189
6PTE-AC,7,18.15852926313142,182,189
6PTE-ED,7,18.11849778541256,182,189
6PTE-HG,7,18.186108682178276,182,189
6PTE-KJ,7,18.117626279399847,182,189
5IB1,7,19.247457416500495,182,189
4U1I,7,18.37948652710407,182,189
9CX0,7,18.78157850128684,182,189
